cat1,cat2,categories,color_response,hue1,hue2,hue_response,proto_hue,proto_resp_error,proto_target_diff,response_bias,response_error,sessionid,set_size,shuffled_hue1,shuffled_response_error
red,red,same,#ff00f6,331.278646236018,21.2786462360177,302.11764705882354,281.6806722688825,20.43697478994102,-49.59797396713549,29.16099917719447,29.16099917719447,1589367650944,2,232.41408185970107,69.70356519912247
blue,purple,diff,#0800ff,236.924114255237,286.924114255237,241.88235294117646,229.89915966385712,11.983193277319344,-7.024954591379867,-4.958238685939477,4.958238685939477,1589367650944,2,265.27561404538,23.393261104203532
yellow,green,diff,#a6ff00,70.1378983502317,120.137898350232,80.94117647058823,121.86554621849697,40.92436974790874,51.72764786826528,10.803278120356538,10.803278120356538,1589367650944,2,352.5168586677779,88.42431780281032
purple,red,diff,#a200ff,286.414868738333,336.414868738333,278.11764705882354,281.6806722688825,3.5630252100589814,-4.734196469450467,8.297221679509448,8.297221679509448,1589367650944,2,102.960873242589,175.15677381623453
blue,purple,diff,#1900ff,231.352712010873,281.352712010873,245.88235294117644,229.89915966385712,15.983193277319316,-1.4535523470158864,-14.52964093030343,14.52964093030343,1589367650944,2,282.72088092469426,36.83852798351782
red,red,same,#ff0073,333.219356229897,23.2193562298967,332.94117647058823,281.6806722688825,51.260504201705714,-51.5386839610145,0.27817975930878447,0.27817975930878447,1589367650944,2,211.62939921690443,121.3117772536838
yellow,green,diff,#ffb700,52.6762283816847,102.676228381685,43.05882352941177,57.91596638651193,14.857142857100165,5.239738004827231,-9.617404852272934,9.617404852272934,1589367650944,2,102.75594470036424,59.69712117095247
green,green,same,#00ff80,164.759109472228,114.759109472228,150.11764705882354,229.89915966385712,79.78151260503358,65.14005019162911,-14.641462413404469,14.641462413404469,1589367650944,2,295.4209304994984,145.30328344067487
yellow,yellow,same,#0dff00,80.289120262552,30.289120262552,116.94117647058825,121.86554621849697,4.924369747908727,41.57642595594497,36.65205620803624,36.65205620803624,1589367650944,2,71.24306283270684,45.698113637881406
red,red,same,#d400ff,332.340839402948,22.3408394029482,289.88235294117646,281.6806722688825,8.201680672293946,-50.66016713406549,42.45848646177154,42.45848646177154,1589367650944,2,179.62876945925603,110.25358348192043
purple,red,diff,#ff00e1,314.079166454844,4.0791664548441,307.05882352941177,281.6806722688825,25.37815126052925,-32.39849418596151,7.02034292543226,7.02034292543226,1589367650944,2,258.8438554126232,48.214968116788555
purple,red,diff,#ff00e6,314.079166454844,4.0791664548441,305.88235294117646,281.6806722688825,24.201680672293946,-32.39849418596151,8.196813513667564,8.196813513667564,1589367650944,2,170.43134949714852,135.45100344402795
purple,red,diff,#ff000d,346.819848365957,296.819848365957,356.94117647058823,5.999999999993606,9.058823529405402,19.180151634036633,10.121328104631232,10.121328104631232,1589367650944,2,155.99991342505066,159.05873695446243
purple,red,diff,#ff0004,343.667325746381,293.667325746381,359.05882352941177,5.999999999993606,6.9411764705818655,22.33267425361265,15.391497783030786,15.391497783030786,1589367650944,2,186.90997690804753,172.14884662136424
yellow,yellow,same,#ff7b00,34.5964093666854,84.5964093666854,28.941176470588232,57.91596638651193,28.9747899159237,23.319557019826533,-5.655232896097168,5.655232896097168,1589367650944,2,279.127317336876,109.81385913371224
yellow,yellow,same,#ff6600,32.0534777682664,82.0534777682664,24,5.999999999993606,18.000000000006395,-26.053477768272792,8.053477768266397,8.053477768266397,1589367650944,2,132.76133734987908,108.76133734987908
blue,purple,diff,#0004ff,231.559670864415,281.559670864415,239.05882352941177,229.89915966385712,9.159663865554649,-1.6605112005578917,-7.499152664996757,7.499152664996757,1589367650944,2,336.194490778326,97.13566724891422
blue,purple,diff,#0004ff,231.352712010873,281.352712010873,239.05882352941177,229.89915966385712,9.159663865554649,-1.4535523470158864,-7.706111518538762,7.706111518538762,1589367650944,2,122.91650570530153,116.14231782411024
blue,blue,same,#a200ff,257.192193600977,207.192193600977,278.11764705882354,229.89915966385712,48.21848739496642,-27.2930339371199,-20.925453457846515,20.925453457846515,1589367650944,2,355.2434020709784,77.12575501215485
green,green,same,#00ff99,149.634458418275,99.6344584182749,156,121.86554621849697,34.13445378150303,-27.768912199778015,-6.365541581725012,6.365541581725012,1589367650944,2,19.10948865446556,136.89051134553443
purple,purple,same,#aa00ff,271.565807221865,321.565807221865,280,229.89915966385712,50.10084033614288,-41.66664755800787,-8.434192778135014,8.434192778135014,1589367650944,2,14.50468936697616,94.50468936697615
red,yellow,diff,#ff0000,-1.07430151555125,48.9256984844488,0,5.999999999993606,5.999999999993606,7.074301515544856,1.07430151555125,1.07430151555125,1589367650944,2,75.13597284221123,75.13597284221123
purple,purple,same,#aa00ff,270.028145741535,320.028145741535,280,229.89915966385712,50.10084033614288,-40.128986077677894,-9.971854258464987,9.971854258464987,1589367650944,2,250.6187523100309,29.381247689969086
green,blue,diff,#00ff11,115.954660750757,165.954660750757,123.99999999999999,121.86554621849697,2.1344537815030122,5.910885467739973,8.045339249242986,8.045339249242986,1589367650944,2,354.3661370574374,129.6338629425626
green,green,same,#22ff00,90.7413522672502,140.74135226725,112,121.86554621849697,9.865546218496974,31.124193951246767,21.258647732749793,21.258647732749793,1589367650944,2,252.75642539549617,140.75642539549617
red,yellow,diff,#ff0400,2.95892691824502,52.958926918245,0.9411764705882386,5.999999999993606,5.058823529405368,3.041073081748586,-2.0177504476567814,2.0177504476567814,1589367650944,2,244.24075862168797,116.70041784890026
