hue2,hue3,hue4,memory_hue,response_bias,response_error,response_hue,set_size
89,295,87,199,16.058823529411768,16.058823529411768,215.05882352941177,3
218,105,323,142,-12.823529411764724,12.823529411764724,154.82352941176472,1
44,145,120,9,-5.8235294117647065,5.8235294117647065,14.823529411764707,2
47,162,298,346,17.764705882352928,17.764705882352928,3.764705882352941,2
47,293,261,95,-42.05882352941176,-42.05882352941176,52.94117647058824,4
316,181,24,160,16,-16,144,4
21,240,251,293,-0.8823529411765207,0.8823529411765207,293.8823529411765,4
198,4,142,250,19.882352941176492,-19.882352941176492,230.1176470588235,2
10,219,74,185,5.117647058823536,5.117647058823536,190.11764705882354,2
126,5,206,250,10.941176470588232,-10.941176470588232,239.05882352941177,1
301,348,16,218,-3.176470588235304,3.176470588235304,221.1764705882353,1
271,350,20,178,-1.058823529411768,-1.058823529411768,176.94117647058823,1
255,75,143,142,-22.941176470588232,22.941176470588232,164.94117647058823,4
313,254,312,0,20.941176470588232,-20.941176470588232,339.05882352941177,2
320,131,110,0,-0.941176470588232,0.941176470588232,0.941176470588232,3
142,247,33,199,-9.823529411764696,-9.823529411764696,189.1764705882353,4
344,92,155,178,-3.176470588235304,-3.176470588235304,174.8235294117647,3
95,239,124,250,11.882352941176464,-11.882352941176464,238.11764705882354,2
23,292,217,218,3.882352941176464,-3.882352941176464,214.11764705882354,2
3,121,353,95,44.99999999999997,44.99999999999997,139.99999999999997,4
29,302,47,269,7,7,276,4
21,160,0,199,-11.94117647058826,-11.94117647058826,187.05882352941174,4
53,267,326,195,-12.882352941176464,-12.882352941176464,182.11764705882354,3
303,118,341,250,15.882352941176464,-15.882352941176464,234.11764705882354,4
282,320,183,142,7.176470588235304,-7.176470588235304,134.8235294117647,3
4,109,232,254,11.176470588235304,-11.176470588235304,242.8235294117647,4
8,92,218,293,-19.235294117647072,19.235294117647072,312.2352941176471,1
176,151,312,42,5.058823529411761,-5.058823529411761,36.94117647058824,2
297,290,190,0,-3.764705882352941,3.764705882352941,3.764705882352941,1
138,209,105,209,-2.8823529411764355,-2.8823529411764355,206.11764705882356,1
151,143,214,58,-0.11764705882352189,-0.11764705882352189,57.88235294117648,3
247,7,206,0,-7.76470588235294,7.76470588235294,7.76470588235294,3
207,113,227,200,-2.8235294117647243,-2.8235294117647243,197.17647058823528,4
146,135,234,257,21,-21,236,3
197,109,100,73,9.000000000000014,-9.000000000000014,63.999999999999986,3
257,127,250,73,9.000000000000014,-9.000000000000014,63.999999999999986,4
115,75,134,42,-9.76470588235295,9.76470588235295,51.76470588235295,1
229,324,161,42,-2,2,44,2
287,339,155,58,3.17647058823529,3.17647058823529,61.17647058823529,3
340,326,151,73,-6.058823529411754,6.058823529411754,79.05882352941175,1
358,285,157,58,2,2,60,2
322,292,85,0,12,-12,348,4
3,60,68,202,-6.000000000000028,-6.000000000000028,195.99999999999997,4
341,355,123,95,-4.882352941176464,-4.882352941176464,90.11764705882354,3
224,328,338,142,12.117647058823536,-12.117647058823536,129.88235294117646,2
78,335,55,58,-0.11764705882352189,-0.11764705882352189,57.88235294117648,1
136,339,229,34,-7.882352941176464,7.882352941176464,41.882352941176464,3
97,150,292,257,-2.764705882352928,2.764705882352928,259.7647058823529,1
263,17,83,9,5.235294117647059,-5.235294117647059,3.764705882352941,1
87,291,241,346,19.882352941176464,19.882352941176464,5.882352941176469,4
202,149,145,16,1.8823529411764746,1.8823529411764746,17.882352941176475,1
77,0,353,42,-49.05882352941177,49.05882352941177,91.05882352941177,4
8,341,91,218,12.823529411764667,-12.823529411764667,205.17647058823533,2
351,248,58,0,-9.88235294117647,9.88235294117647,9.88235294117647,2
201,181,110,34,-2.941176470588239,2.941176470588239,36.94117647058824,2
30,190,239,0,-14.823529411764707,14.823529411764707,14.823529411764707,2
293,39,311,199,12.058823529411768,12.058823529411768,211.05882352941177,3
170,113,293,257,35.823529411764696,-35.823529411764696,221.1764705882353,2
194,214,276,160,-5.882352941176464,5.882352941176464,165.88235294117646,3
319,346,156,202,-29.058823529411768,-29.058823529411768,172.94117647058823,3
160,79,292,95,4.058823529411754,4.058823529411754,99.05882352941175,1
348,311,241,178,-4.117647058823536,-4.117647058823536,173.88235294117646,4
40,22,277,195,-18.058823529411768,-18.058823529411768,176.94117647058823,2
54,190,202,202,1.0588235294117965,1.0588235294117965,203.0588235294118,4
219,344,193,0,15.764705882352928,-15.764705882352928,344.2352941176471,4
300,39,178,200,-2.8235294117647243,-2.8235294117647243,197.17647058823528,4
307,327,347,293,-17.117647058823536,17.117647058823536,310.11764705882354,3
256,28,55,254,4.117647058823508,-4.117647058823508,249.8823529411765,2
345,189,104,16,-33.882352941176464,-33.882352941176464,342.11764705882354,3
337,177,182,254,14,-14,240,3
340,322,128,73,0.7647058823529278,-0.7647058823529278,72.23529411764707,1
198,86,57,185,-7.117647058823536,-7.117647058823536,177.88235294117646,2
291,87,55,202,-11.882352941176464,-11.882352941176464,190.11764705882354,1
224,65,237,16,-1.1764705882352935,-1.1764705882352935,14.823529411764707,2
283,130,275,142,50,-50,92,4
35,63,328,58,0.8235294117647101,0.8235294117647101,58.82352941176471,1
85,189,331,0,-14.823529411764707,14.823529411764707,14.823529411764707,4
317,64,43,16,0.9411764705882355,0.9411764705882355,16.941176470588236,3
88,28,54,293,-0.8823529411765207,0.8823529411765207,293.8823529411765,1
282,2,17,250,4.1176470588235645,-4.1176470588235645,245.88235294117644,1
311,182,28,178,-3.176470588235304,-3.176470588235304,174.8235294117647,2
89,191,211,185,2.0588235294117396,2.0588235294117396,187.05882352941174,1
199,177,213,34,4.117647058823529,-4.117647058823529,29.88235294117647,2
220,83,174,199,-15.941176470588232,-15.941176470588232,183.05882352941177,4
288,102,95,218,-37.764705882352956,37.764705882352956,255.76470588235296,4
30,328,178,250,5.0588235294117965,-5.0588235294117965,244.9411764705882,4
20,274,246,178,0.8235294117646959,0.8235294117646959,178.8235294117647,3
186,19,307,199,4.0588235294117965,4.0588235294117965,203.0588235294118,2
214,336,18,58,3.17647058823529,3.17647058823529,61.17647058823529,1
74,14,213,200,1.1764705882352473,1.1764705882352473,201.17647058823525,1
142,104,75,142,9.058823529411768,-9.058823529411768,132.94117647058823,4
186,300,242,250,22.941176470588232,-22.941176470588232,227.05882352941177,1
26,246,276,199,-4.882352941176492,-4.882352941176492,194.1176470588235,2
307,207,267,195,8.058823529411796,8.058823529411796,203.0588235294118,1
218,273,191,58,7.176470588235304,7.176470588235304,65.1764705882353,2
17,264,23,218,12.823529411764667,-12.823529411764667,205.17647058823533,3
287,95,348,185,0.17647058823527573,0.17647058823527573,185.17647058823528,2
26,214,355,199,9.000000000000028,9.000000000000028,208.00000000000003,1
36,267,280,199,-3.9411764705882604,-3.9411764705882604,195.05882352941174,1
148,323,47,34,-2,2,36,1
253,359,209,250,14.941176470588232,-14.941176470588232,235.05882352941177,3
278,6,24,200,172.94117647058823,172.94117647058823,12.941176470588237,3
217,21,350,346,-14.941176470588232,-14.941176470588232,331.05882352941177,1
264,194,337,95,9.000000000000014,9.000000000000014,104.00000000000001,2
18,74,318,209,4.176470588235304,4.176470588235304,213.1764705882353,1
36,186,265,0,-11.764705882352938,11.764705882352938,11.764705882352938,4
140,6,43,73,-5.117647058823522,5.117647058823522,78.11764705882352,3
294,215,343,195,-33.117647058823536,-33.117647058823536,161.88235294117646,1
312,84,6,0,9.882352941176464,-9.882352941176464,350.11764705882354,4
107,165,153,209,-18.882352941176464,-18.882352941176464,190.11764705882354,4
272,141,358,200,4.000000000000028,4.000000000000028,204.00000000000003,2
183,161,357,9,-0.8823529411764692,0.8823529411764692,9.88235294117647,3
84,201,287,0,-2.823529411764709,2.823529411764709,2.823529411764709,1
188,220,267,195,-6.764705882352985,-6.764705882352985,188.23529411764702,4
271,98,226,16,-11.058823529411763,-11.058823529411763,4.941176470588237,4
165,12,105,257,21.941176470588232,-21.941176470588232,235.05882352941177,2
138,224,155,0,-9.88235294117647,9.88235294117647,9.88235294117647,1
296,13,99,218,-31.882352941176492,31.882352941176492,249.8823529411765,2
185,207,312,195,-3.941176470588232,-3.941176470588232,191.05882352941177,4
221,236,1,9,-13.823529411764703,13.823529411764703,22.823529411764703,2
99,252,137,200,2.1176470588235645,2.1176470588235645,202.11764705882356,3
191,154,341,95,0.05882352941173963,0.05882352941173963,95.05882352941174,3
143,19,37,257,45.94117647058823,-45.94117647058823,211.05882352941177,2
138,297,299,185,4.176470588235304,4.176470588235304,189.1764705882353,1
12,329,139,0,12.941176470588232,-12.941176470588232,347.05882352941177,3
10,115,162,199,9.000000000000028,9.000000000000028,208.00000000000003,1
207,277,80,346,9.058823529411768,9.058823529411768,355.05882352941177,3
169,151,167,254,6.235294117647101,-6.235294117647101,247.7647058823529,1
13,57,53,42,-2,2,44,1
109,340,137,185,-2.882352941176464,-2.882352941176464,182.11764705882354,1
284,97,321,200,-8.941176470588232,-8.941176470588232,191.05882352941177,2
196,281,300,34,-4.82352941176471,4.82352941176471,38.82352941176471,4
289,243,16,142,-16.823529411764696,16.823529411764696,158.8235294117647,1
269,339,299,209,-2.8823529411764355,-2.8823529411764355,206.11764705882356,2
4,204,49,34,-2.941176470588239,2.941176470588239,36.94117647058824,3
63,355,272,218,-0.11764705882350768,0.11764705882350768,218.1176470588235,3
302,117,281,142,0.1176470588235361,-0.1176470588235361,141.88235294117646,2
317,234,80,250,10.941176470588232,-10.941176470588232,239.05882352941177,1
231,325,74,34,2,-2,32,1
185,18,154,257,-4.882352941176521,4.882352941176521,261.8823529411765,1
291,282,29,16,-100,-100,276,2
165,356,126,250,20.823529411764724,-20.823529411764724,229.17647058823528,2
109,112,103,34,-6.941176470588232,6.941176470588232,40.94117647058823,4
252,137,166,73,9.941176470588246,-9.941176470588246,63.058823529411754,2
129,42,22,160,8,-8,152,1
349,31,238,34,3.176470588235297,-3.176470588235297,30.823529411764703,3
128,336,43,16,133.88235294117646,133.88235294117646,149.88235294117646,4
